legacy_ocms_code,synthetic_project_code,surviving_project_code,reviewed_by,rationale
N04000112,ocms:N04000112,612194,,ocms:N04000112 was minted by the truncated-read run of load-mospi-historical; 612194 is the MoSPI project_code that already carried legacy_ocms_code N04000112
N04000106,ocms:N04000106,612786,,ocms:N04000106 was minted by the truncated-read run of load-mospi-historical; 612786 is the MoSPI project_code that already carried legacy_ocms_code N04000106
N04000108,ocms:N04000108,612787,,ocms:N04000108 was minted by the truncated-read run of load-mospi-historical; 612787 is the MoSPI project_code that already carried legacy_ocms_code N04000108
N04000111,ocms:N04000111,612789,,ocms:N04000111 was minted by the truncated-read run of load-mospi-historical; 612789 is the MoSPI project_code that already carried legacy_ocms_code N04000111
N04000109,ocms:N04000109,612791,,ocms:N04000109 was minted by the truncated-read run of load-mospi-historical; 612791 is the MoSPI project_code that already carried legacy_ocms_code N04000109
N04000110,ocms:N04000110,612793,,ocms:N04000110 was minted by the truncated-read run of load-mospi-historical; 612793 is the MoSPI project_code that already carried legacy_ocms_code N04000110
N06000269,ocms:N06000269,612819,,ocms:N06000269 was minted by the truncated-read run of load-mospi-historical; 612819 is the MoSPI project_code that already carried legacy_ocms_code N06000269
N42000001,ocms:N42000001,612885,,ocms:N42000001 was minted by the truncated-read run of load-mospi-historical; 612885 is the MoSPI project_code that already carried legacy_ocms_code N42000001
N06000123,ocms:N06000123,613798,,ocms:N06000123 was minted by the truncated-read run of load-mospi-historical; 613798 is the MoSPI project_code that already carried legacy_ocms_code N06000123
N06000135,ocms:N06000135,613799,,ocms:N06000135 was minted by the truncated-read run of load-mospi-historical; 613799 is the MoSPI project_code that already carried legacy_ocms_code N06000135
N06000125,ocms:N06000125,613802,,ocms:N06000125 was minted by the truncated-read run of load-mospi-historical; 613802 is the MoSPI project_code that already carried legacy_ocms_code N06000125
N06000250,ocms:N06000250,613804,,ocms:N06000250 was minted by the truncated-read run of load-mospi-historical; 613804 is the MoSPI project_code that already carried legacy_ocms_code N06000250
N06000096,ocms:N06000096,613808,,ocms:N06000096 was minted by the truncated-read run of load-mospi-historical; 613808 is the MoSPI project_code that already carried legacy_ocms_code N06000096
N06000251,ocms:N06000251,615184,,ocms:N06000251 was minted by the truncated-read run of load-mospi-historical; 615184 is the MoSPI project_code that already carried legacy_ocms_code N06000251
N06000257,ocms:N06000257,615185,,ocms:N06000257 was minted by the truncated-read run of load-mospi-historical; 615185 is the MoSPI project_code that already carried legacy_ocms_code N06000257
N06000255,ocms:N06000255,615188,,ocms:N06000255 was minted by the truncated-read run of load-mospi-historical; 615188 is the MoSPI project_code that already carried legacy_ocms_code N06000255
N06000253,ocms:N06000253,615189,,ocms:N06000253 was minted by the truncated-read run of load-mospi-historical; 615189 is the MoSPI project_code that already carried legacy_ocms_code N06000253
N06000252,ocms:N06000252,615190,,ocms:N06000252 was minted by the truncated-read run of load-mospi-historical; 615190 is the MoSPI project_code that already carried legacy_ocms_code N06000252
N06000112,ocms:N06000112,615193,,ocms:N06000112 was minted by the truncated-read run of load-mospi-historical; 615193 is the MoSPI project_code that already carried legacy_ocms_code N06000112
N06000203,ocms:N06000203,615857,,ocms:N06000203 was minted by the truncated-read run of load-mospi-historical; 615857 is the MoSPI project_code that already carried legacy_ocms_code N06000203
N06000213,ocms:N06000213,615858,,ocms:N06000213 was minted by the truncated-read run of load-mospi-historical; 615858 is the MoSPI project_code that already carried legacy_ocms_code N06000213
N06000202,ocms:N06000202,615860,,ocms:N06000202 was minted by the truncated-read run of load-mospi-historical; 615860 is the MoSPI project_code that already carried legacy_ocms_code N06000202
N06000211,ocms:N06000211,615861,,ocms:N06000211 was minted by the truncated-read run of load-mospi-historical; 615861 is the MoSPI project_code that already carried legacy_ocms_code N06000211
N06000204,ocms:N06000204,615863,,ocms:N06000204 was minted by the truncated-read run of load-mospi-historical; 615863 is the MoSPI project_code that already carried legacy_ocms_code N06000204
N06000214,ocms:N06000214,615865,,ocms:N06000214 was minted by the truncated-read run of load-mospi-historical; 615865 is the MoSPI project_code that already carried legacy_ocms_code N06000214
N06000205,ocms:N06000205,615914,,ocms:N06000205 was minted by the truncated-read run of load-mospi-historical; 615914 is the MoSPI project_code that already carried legacy_ocms_code N06000205
N06000256,ocms:N06000256,615918,,ocms:N06000256 was minted by the truncated-read run of load-mospi-historical; 615918 is the MoSPI project_code that already carried legacy_ocms_code N06000256
N06000226,ocms:N06000226,616050,,ocms:N06000226 was minted by the truncated-read run of load-mospi-historical; 616050 is the MoSPI project_code that already carried legacy_ocms_code N06000226
N06000219,ocms:N06000219,616223,,ocms:N06000219 was minted by the truncated-read run of load-mospi-historical; 616223 is the MoSPI project_code that already carried legacy_ocms_code N06000219
N30000027,ocms:N30000027,616600,,ocms:N30000027 was minted by the truncated-read run of load-mospi-historical; 616600 is the MoSPI project_code that already carried legacy_ocms_code N30000027
N30000042,ocms:N30000042,616604,,ocms:N30000042 was minted by the truncated-read run of load-mospi-historical; 616604 is the MoSPI project_code that already carried legacy_ocms_code N30000042
N30000051,ocms:N30000051,616611,,ocms:N30000051 was minted by the truncated-read run of load-mospi-historical; 616611 is the MoSPI project_code that already carried legacy_ocms_code N30000051
