Sl. No,Payment/Receipt,Department,Head,Sub-Head,P/R Code,Work description,Accounts 2017-18,Budget Estimates 2018-19,Revised Estimates 2018-19,2019-20 Revenue,2019-20 Capital,2019-20 Total
268,Payments,04. Estates & Asset Management,Infrastructure,Asset Management,P0607 ,Pending Bills,-,-,-,-,80,80
269,Payments,04. Estates & Asset Management,Infrastructure,Asset Management,P0607 ,Current Works,-,-,-,-,500,500
270,Payments,04. Estates & Asset Management,Infrastructure,Asset Management,Total,Total of Estate & Management Dept.,"5,357.52","6,541.54","8,000.00",500,"7,261.00","7,761.00"
271,Payments,05. Revenue,Administrative Expenses,General Expenses,P3207 ,Digital Door Numbering,43.21,100,100,100,-,100
272,Payments,05. Revenue,Administrative Expenses,General Expenses,P0097 ,SAS Campaign Expenses,-,10,5,5,-,5
273,Payments,05. Revenue,Administrative Expenses,General Expenses,P3206 ,Total Station Survey,-,500,500,500,-,500
274,Payments,05. Revenue,Administrative Expenses,General Expenses,P0056 ,Removal of unauthorised advt Boards,1.38,15,10,10,-,10
275,Payments,05. Revenue,Recovery /Refunds,Cess Payable,P0193 ,Current - Beggary Cess,"2,115.00","9,300.00","2,500.00","10,500.00",-,"10,500.00"
276,Payments,05. Revenue,Recovery /Refunds,Cess Payable,P0194 ,Current - Library Cess,"2,800.00","18,600.00","5,000.00","21,000.00",-,"21,000.00"
277,Payments,05. Revenue,Recovery /Refunds,Cess Payable,Total,Total of Revenue Dept.,"4,959.59","28,525.00","8,115.00","32,115.00",0,"32,115.00"
278,Payments,06. Horticulture and Environmental Management,Administrative Expenses,General Expenses,P2172 ,Horticulture Show,-,10,5,50,-,50
279,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P1884 ,Development of Nursery & Introduction of New Variety,-,50,10,-,-,-
280,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P1884 ,Pending Bills,-,-,-,2,-,2
281,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P1884 ,Current Works,-,-,-,25,-,25
282,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P1850 ,Creation of Tree Parks/Fruit trees for Birds & water supply facilities in all parks,-,50,25,50,-,50
283,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P0299 ,"Drilling & Maintenance of Borewells, Pumpsets & Pipe lines, Erection & Installation maintenance only",187.17,400,100,-,-,-
284,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P0299 ,Pending Bills,-,-,-,329,-,329
285,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P0299 ,Spillover Works,-,-,-,30,-,30
286,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P0299 ,Current Works,-,-,-,200,-,200
287,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P0311 ,"Landscape development of Parks, Medians, Boulevards & Circles (Janoodyana Works)",345.19,"1,600.00","1,500.00",-,-,-
288,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P0311 ,Pending Bills,-,-,-,"1,000.00",-,"1,000.00"
289,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P0311 ,Spillover Works,-,-,-,100,-,100
290,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P0311 ,Current Works,-,-,-,"1,000.00",-,"1,000.00"
291,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P3304 ,"Development of Medians, Circles and Prime roads",-,260,210,-,-,-
292,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P3304 ,Pending Bills,-,-,-,5,-,5
293,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P3304 ,Current Works,-,-,-,100,-,100
294,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P0973 ,"yocre^sSeirtert QesSris? s^eS^ Lighting of Parks, Amenities",11.2,38,40,-,-,-
295,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P0973 ,Pending Bills,-,-,-,25,-,25
296,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P0973 ,Current Works,-,-,-,25,-,25
297,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P3209 ,Water Facility in BBMP Parks,-,145,25,-,-,-
298,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P3209 ,Pending Bills,-,-,-,63,-,63
299,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P3209 ,Spillover Works,-,-,-,13,-,13
300,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P3209 ,Current Works,-,-,-,50,-,50
301,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P3210 ,Rain Water Harvesting in all Parks,-,200,100,-,-,-
302,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P3210 ,Pending Bills,-,-,-,50,-,50
303,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P3210 ,Spillover Works,-,-,-,140,-,140
304,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P3210 ,Current Works,-,-,-,100,-,100
305,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P3423 ,Maintenance of Parks at 44 & 47,-,100,-,-,-,-
306,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P3211 ,Production of Organic Menure in Parks,-,25,10,100,-,100
307,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P0088 ,Maintenance & Management of Parks on Contract,"3,200.50","1,700.00","4,000.00",-,-,-
308,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P0088 ,Pending Bills,-,-,-,"1,500.00",-,"1,500.00"
309,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P0088 ,Spillover Works,-,-,-,225,-,225
310,Payments,06. Horticulture and Environmental Management,Environmental Management,Parks (Maintenance & Development),P3374 ,"Maintenance of BBMP Parks East, West, & South Zone (Rs.8.00Cr each Current Works (Escrow Account)",-,"3,000.00","1,000.00","2,400.00",-,"2,400.00"
